'Participant','Experiment','Type','Number','Correct','Aha','Impasse','Pleasure','Surprise','Certain'
4,1.5,1,4,0,6,100,7,50,1
4,1.5,1,5,1,53,45,61,91,72
4,1.5,1,6,1,50,26,88,65,100
4,1.5,1,7,1,85,15,82,84,100
4,1.5,1,8,0,1,100,50,50,0
4,1.5,1,9,1,2,1,63,81,99
4,1.5,1,10,0,3,93,11,50,21
4,1.5,2,1,0,11,82,15,0,6
4,1.5,2,2,0,7,1,50,2,35
4,1.5,2,3,0,27,65,30,59,30
4,1.5,2,4,0,5,79,39,21,4
4,1.5,2,5,0,3,78,29,50,1
4,1.5,2,6,0,1,85,8,2,1
4,1.5,2,7,0,12,63,39,50,8
4,1.5,2,8,0,10,70,31,64,3
4,1.5,2,9,0,1,100,9,1,2
4,1.5,2,10,1,79,1,85,15,93
4,1.5,2,11,1,53,66,44,59,39
4,1.5,2,12,1,100,1,92,50,100
4,1.5,2,13,0,4,62,50,56,3
4,1.5,2,14,1,65,50,54,57,72
4,1.5,2,15,1,63,15,75,71,75
4,1.5,2,16,1,91,12,95,75,96
4,1.5,2,17,1,60,44,79,62,71
4,1.5,2,18,1,100,1,90,57,100
4,1.5,2,19,1,100,1,84,12,100
4,1.5,2,20,0,8,84,19,59,2
5,1.5,1,1,1,29,81,91,31,100
5,1.5,1,2,1,71,70,100,100,100
5,1.5,1,3,0,62,9,50,8,50
5,1.5,1,4,1,100,82,71,82,94
5,1.5,1,5,1,71,10,74,12,84
5,1.5,1,6,0,9,40,97,28,84
5,1.5,1,7,0,9,0,68,11,100
5,1.5,1,8,0,100,61,100,100,100
5,1.5,1,9,1,0,0,50,0,100
5,1.5,1,10,1,48,79,60,19,50
5,1.5,2,1,1,70,20,91,19,100
5,1.5,2,2,1,71,71,93,71,70
5,1.5,2,3,0,0,0,0,0,39
5,1.5,2,4,0,0,100,0,0,0
5,1.5,2,5,0,0,100,0,0,0
5,1.5,2,6,0,30,91,19,38,19
5,1.5,2,7,0,0,100,0,0,0
5,1.5,2,8,1,100,80,100,71,100
5,1.5,2,9,0,0,100,9,0,0
5,1.5,2,10,1,100,0,81,0,100
5,1.5,2,11,0,50,72,29,23,19
5,1.5,2,12,1,71,0,60,0,100
5,1.5,2,13,0,1,1,1,1,0
5,1.5,2,14,1,77,0,71,0,100
5,1.5,2,15,0,100,82,8,100,40
5,1.5,2,16,1,100,0,100,0,100
5,1.5,2,17,1,92,9,100,17,100
5,1.5,2,18,1,59,60,75,44,62
5,1.5,2,19,1,50,4,100,11,100
5,1.5,2,20,1,100,39,100,39,100
6,1.5,1,1,0,0,100,0,0,0
6,1.5,1,2,0,60,92,54,71,60
6,1.5,1,3,1,0,100,0,0,0
6,1.5,1,4,0,0,100,0,0,0
6,1.5,1,5,0,0,100,0,0,0
6,1.5,1,6,0,0,100,0,0,0
6,1.5,1,7,1,19,95,29,47,10
6,1.5,1,8,0,0,100,0,0,0
6,1.5,1,9,1,9,100,9,60,39
6,1.5,1,10,0,18,92,19,71,18
6,1.5,2,1,0,0,100,0,0,0
6,1.5,2,2,0,0,100,0,0,50
6,1.5,2,3,0,0,0,0,0,0
6,1.5,2,4,0,0,100,0,0,0
6,1.5,2,5,0,39,9,37,50,39
6,1.5,2,6,0,0,100,0,0,0
6,1.5,2,7,0,0,100,0,0,4
6,1.5,2,8,1,100,100,100,100,91
6,1.5,2,9,0,0,0,0,0,0
6,1.5,2,10,1,81,81,87,100,90
6,1.5,2,11,0,0,100,0,0,0
6,1.5,2,12,1,73,60,86,51,100
6,1.5,2,13,0,0,100,0,0,0
6,1.5,2,14,0,0,100,0,0,0
6,1.5,2,15,0,0,100,0,0,0
6,1.5,2,16,1,100,4,90,72,100
6,1.5,2,17,1,79,60,81,84,100
6,1.5,2,18,1,100,20,81,71,100
6,1.5,2,19,1,88,48,90,68,100
6,1.5,2,20,1,100,10,100,100,100
7,1.5,1,1,1,18,93,18,9,51
7,1.5,1,2,1,20,71,61,7,100
7,1.5,1,3,0,10,22,12,9,71
7,1.5,1,4,0,9,50,10,8,0
7,1.5,1,5,0,0,70,0,0,0
7,1.5,1,6,0,39,40,20,12,61
7,1.5,1,7,0,0,100,0,0,0
7,1.5,1,8,0,9,79,9,9,0
7,1.5,1,9,1,10,20,19,0,81
7,1.5,1,10,0,9,61,8,7,3
7,1.5,2,1,1,0,40,0,32,70
7,1.5,2,2,0,0,93,0,0,11
7,1.5,2,3,0,0,80,0,0,0
7,1.5,2,4,1,59,17,71,40,90
7,1.5,2,5,0,0,100,0,0,0
7,1.5,2,6,0,0,71,0,0,9
7,1.5,2,7,0,31,58,0,0,0
7,1.5,2,8,0,0,77,0,0,8
7,1.5,2,9,0,0,98,0,0,0
7,1.5,2,10,1,71,28,74,25,82
7,1.5,2,11,0,0,94,0,0,3
7,1.5,2,12,1,61,36,64,18,63
7,1.5,2,13,0,42,64,0,0,6
7,1.5,2,14,1,9,37,0,0,31
7,1.5,2,15,0,0,53,0,0,1
7,1.5,2,16,1,69,20,83,2,92
7,1.5,2,17,1,48,25,61,19,63
7,1.5,2,18,0,0,92,0,0,0
7,1.5,2,19,1,91,20,82,19,92
7,1.5,2,20,0,0,100,0,0,0
8,1.5,1,1,0,37,97,7,87,4
8,1.5,1,2,1,100,72,94,56,98
8,1.5,1,3,0,1,100,0,1,1
8,1.5,1,4,0,5,100,3,1,1
8,1.5,1,5,1,29,26,50,3,92
8,1.5,1,6,1,1,2,50,3,98
8,1.5,1,7,1,50,34,50,7,100
8,1.5,1,8,1,92,65,81,14,90
8,1.5,1,9,1,2,4,50,12,97
8,1.5,1,10,0,9,40,50,18,91
8,1.5,2,1,1,80,38,68,3,91
8,1.5,2,2,0,0,100,0,91,0
8,1.5,2,3,0,0,100,0,79,0
8,1.5,2,4,0,100,71,100,6,94
8,1.5,2,5,0,0,100,4,75,0
8,1.5,2,6,1,29,4,69,27,81
8,1.5,2,7,0,0,100,3,96,0
8,1.5,2,8,0,9,70,53,59,30
8,1.5,2,9,1,75,39,78,24,94
8,1.5,2,10,1,73,0,72,0,100
8,1.5,2,11,0,0,100,1,76,1
8,1.5,2,12,0,1,100,0,77,0
8,1.5,2,13,1,64,0,59,0,100
8,1.5,2,14,1,34,0,83,0,100
8,1.5,2,15,0,19,79,50,16,28
8,1.5,2,16,1,50,0,65,0,100
8,1.5,2,17,1,51,32,70,25,92
8,1.5,2,18,1,50,2,71,0,81
8,1.5,2,19,1,51,3,72,3,94
8,1.5,2,20,0,0,100,0,92,0
9,1.5,1,1,1,71,64,61,49,0
9,1.5,1,2,0,0,95,0,0,0
9,1.5,1,3,0,5,86,6,4,2
9,1.5,1,4,0,8,64,37,29,40
9,1.5,1,5,0,72,19,60,81,79
9,1.5,1,6,1,49,8,92,9,100
9,1.5,1,7,0,6,83,15,12,0
9,1.5,1,8,1,79,15,80,35,100
9,1.5,1,9,0,19,7,82,12,91
9,1.5,1,10,1,74,48,82,29,92
9,1.5,2,1,0,9,93,50,0,10
9,1.5,2,2,1,60,70,50,93,92
9,1.5,2,3,0,31,98,64,83,8
9,1.5,2,4,0,0,83,50,0,0
9,1.5,2,5,1,38,46,41,71,28
9,1.5,2,6,1,82,60,59,30,100
9,1.5,2,7,0,0,61,30,50,39
9,1.5,2,8,0,19,64,25,21,31
9,1.5,2,9,0,0,88,51,0,0
9,1.5,2,10,1,99,24,83,30,99
9,1.5,2,11,0,0,82,50,0,8
9,1.5,2,12,0,0,65,50,51,0
9,1.5,2,13,1,77,11,61,36,94
9,1.5,2,14,1,39,73,61,18,83
9,1.5,2,15,0,18,55,49,15,61
9,1.5,2,16,1,75,28,72,40,100
9,1.5,2,17,0,0,72,50,0,0
9,1.5,2,18,1,92,4,93,31,99
9,1.5,2,19,0,17,91,21,89,9
9,1.5,2,20,1,28,38,41,59,86
10,1.5,1,1,0,2,87,4,5,11
10,1.5,1,2,0,3,2,2,3,0
10,1.5,1,3,0,11,81,8,12,14
10,1.5,1,4,0,8,91,9,12,11
10,1.5,1,5,0,7,83,19,7,16
10,1.5,1,6,1,20,59,72,17,93
10,1.5,1,7,1,64,72,64,24,91
10,1.5,1,8,0,29,71,15,12,9
10,1.5,1,9,1,20,41,41,9,80
10,1.5,1,10,0,21,60,23,20,28
10,1.5,2,1,1,28,15,24,22,100
10,1.5,2,2,0,9,56,12,18,90
10,1.5,2,3,0,3,98,9,9,3
10,1.5,2,4,1,60,5,43,22,99
10,1.5,2,5,0,8,73,12,13,7
10,1.5,2,6,0,1,90,3,4,12
10,1.5,2,7,1,30,1,18,22,100
10,1.5,2,8,1,40,40,70,14,100
10,1.5,2,9,1,9,11,7,13,99
10,1.5,2,10,1,59,33,18,9,100
10,1.5,2,11,1,19,26,59,50,79
10,1.5,2,12,1,9,55,10,16,7
10,1.5,2,13,1,71,70,60,10,67
10,1.5,2,14,1,6,11,21,7,100
10,1.5,2,15,0,4,96,7,4,3
10,1.5,2,16,1,79,19,72,38,100
10,1.5,2,17,0,3,95,3,4,1
10,1.5,2,18,0,2,97,3,4,1
10,1.5,2,19,1,59,9,12,8,100
10,1.5,2,20,1,59,24,6,11,100
11,1.5,1,1,1,100,54,88,74,94
11,1.5,1,2,0,35,71,50,35,58
11,1.5,1,3,0,1,100,12,4,0
11,1.5,1,4,0,13,77,29,7,0
11,1.5,1,5,1,77,54,78,69,84
11,1.5,1,6,0,49,92,42,63,26
11,1.5,1,7,0,60,73,41,59,57
11,1.5,1,8,1,72,52,58,53,97
11,1.5,1,9,1,46,34,75,0,74
11,1.5,1,10,0,26,73,61,41,56
11,1.5,2,1,1,79,32,71,48,100
11,1.5,2,2,0,1,100,0,0,0
11,1.5,2,3,0,0,81,0,0,0
11,1.5,2,4,0,0,93,0,1,0
11,1.5,2,5,1,58,3,80,10,100
11,1.5,2,6,1,32,70,19,53,64
11,1.5,2,7,0,0,93,0,0,1
11,1.5,2,8,0,0,100,0,0,0
11,1.5,2,9,0,0,95,0,0,0
11,1.5,2,10,1,52,5,76,17,100
11,1.5,2,11,1,22,67,31,60,67
11,1.5,2,12,1,90,16,44,26,100
11,1.5,2,13,0,0,100,0,0,0
11,1.5,2,14,1,41,23,67,23,100
11,1.5,2,15,0,2,100,2,6,0
11,1.5,2,16,1,75,48,50,70,100
11,1.5,2,17,1,44,18,79,25,100
11,1.5,2,18,1,57,50,57,52,85
11,1.5,2,19,1,90,28,72,60,100
11,1.5,2,20,1,58,17,76,30,100
12,1.5,1,1,1,67,53,73,59,83
12,1.5,1,2,1,87,60,90,78,100
12,1.5,1,3,1,67,57,70,53,80
12,1.5,1,4,0,85,36,81,70,100
12,1.5,1,5,1,51,49,52,22,67
12,1.5,1,6,1,40,60,40,63,0
12,1.5,1,7,0,2,100,2,3,0
12,1.5,1,8,0,6,100,9,10,5
12,1.5,1,9,1,74,15,71,29,81
12,1.5,1,10,0,52,40,59,66,64
12,1.5,2,1,1,88,41,80,29,100
12,1.5,2,2,0,4,95,3,4,0
12,1.5,2,3,0,1,99,2,1,0
12,1.5,2,4,0,3,97,3,2,0
12,1.5,2,5,1,54,35,61,50,82
12,1.5,2,6,0,2,98,3,3,0
12,1.5,2,7,1,100,69,100,90,100
12,1.5,2,8,1,62,8,71,2,100
12,1.5,2,9,0,12,66,24,57,20
12,1.5,2,10,1,81,2,86,49,100
12,1.5,2,11,0,2,100,3,3,0
12,1.5,2,12,0,3,100,4,2,24
12,1.5,2,13,1,70,7,70,21,100
12,1.5,2,14,1,60,3,60,44,100
12,1.5,2,15,1,50,0,50,2,100
12,1.5,2,16,1,69,10,75,10,100
12,1.5,2,17,1,59,60,50,45,77
12,1.5,2,18,0,4,92,8,4,0
12,1.5,2,19,1,80,61,100,21,100
12,1.5,2,20,1,72,14,62,56,81
13,1.5,1,1,0,12,80,96,82,5
13,1.5,1,2,0,4,100,80,81,0
13,1.5,1,3,0,9,83,9,10,16
13,1.5,1,4,0,52,82,44,66,16
13,1.5,1,5,0,22,82,39,82,8
13,1.5,1,6,0,8,91,8,92,10
13,1.5,1,7,0,4,98,99,86,8
13,1.5,1,8,0,0,93,15,82,4
13,1.5,1,9,1,86,10,71,9,82
13,1.5,1,10,0,80,0,92,20,74
13,1.5,2,1,1,5,96,95,95,4
13,1.5,2,2,0,7,96,7,8,3
13,1.5,2,3,0,7,97,5,83,4
13,1.5,2,4,0,3,97,5,89,6
13,1.5,2,5,0,4,91,99,10,4
13,1.5,2,6,0,4,96,11,87,1
13,1.5,2,7,0,6,92,100,22,20
13,1.5,2,8,0,5,85,91,89,6
13,1.5,2,9,0,7,100,92,7,10
13,1.5,2,10,0,9,91,84,84,26
13,1.5,2,11,0,6,92,10,81,4
13,1.5,2,12,1,5,96,6,7,4
13,1.5,2,13,0,3,100,86,4,7
13,1.5,2,14,1,62,10,93,8,65
13,1.5,2,15,0,4,95,8,94,5
13,1.5,2,16,1,100,6,98,7,90
13,1.5,2,17,1,18,77,81,87,39
13,1.5,2,18,0,5,86,11,5,10
13,1.5,2,19,1,89,91,28,11,92
13,1.5,2,20,0,18,87,91,90,3
14,1.5,1,1,1,71,49,59,49,80
14,1.5,1,2,1,39,29,51,40,92
14,1.5,1,3,1,43,28,39,38,91
14,1.5,1,4,0,91,72,58,71,0
14,1.5,1,5,0,3,70,47,50,0
14,1.5,1,6,0,8,71,30,8,0
14,1.5,1,7,0,30,29,48,20,61
14,1.5,1,8,0,29,52,55,18,18
14,1.5,1,9,1,18,29,29,30,80
14,1.5,1,10,1,40,41,60,50,61
14,1.5,2,1,0,81,54,53,69,61
14,1.5,2,2,0,3,63,45,2,0
14,1.5,2,3,0,1,32,40,1,0
14,1.5,2,4,0,5,58,46,1,0
14,1.5,2,5,0,0,60,40,0,0
14,1.5,2,6,1,11,60,47,49,12
14,1.5,2,7,1,58,64,57,52,61
14,1.5,2,8,0,2,64,43,5,0
14,1.5,2,9,1,59,53,55,40,33
14,1.5,2,10,0,2,51,43,1,0
14,1.5,2,11,1,39,45,69,47,42
14,1.5,2,12,1,8,57,48,16,22
14,1.5,2,13,0,7,53,44,4,0
14,1.5,2,14,1,29,50,59,39,82
14,1.5,2,15,1,39,59,50,51,18
14,1.5,2,16,1,29,32,60,39,70
14,1.5,2,17,1,19,51,54,38,34
14,1.5,2,18,1,28,55,56,18,29
14,1.5,2,19,1,41,49,50,51,54
14,1.5,2,20,1,39,50,29,39,28
15,1.5,1,1,0,9,95,12,9,0
15,1.5,1,2,0,0,100,0,0,0
15,1.5,1,3,0,0,100,0,0,0
15,1.5,1,4,0,24,98,34,24,23
15,1.5,1,5,1,100,10,100,8,100
15,1.5,1,6,0,0,100,0,0,0
15,1.5,1,7,1,96,14,98,78,100
15,1.5,1,8,1,94,82,96,93,100
15,1.5,1,9,1,100,9,100,9,100
15,1.5,1,10,0,17,86,18,18,20
15,1.5,2,1,0,5,91,10,13,3
15,1.5,2,2,0,26,87,23,24,25
15,1.5,2,3,0,25,58,30,29,34
15,1.5,2,4,0,5,94,7,96,4
15,1.5,2,5,0,87,10,86,15,91
15,1.5,2,6,0,10,95,6,7,6
15,1.5,2,7,0,29,93,8,91,8
15,1.5,2,8,0,8,94,8,5,4
15,1.5,2,9,0,9,85,9,10,6
15,1.5,2,10,0,14,78,14,15,7
15,1.5,2,11,0,80,53,11,84,9
15,1.5,2,12,1,60,32,51,34,82
15,1.5,2,13,0,34,35,45,55,49
15,1.5,2,14,1,93,5,92,92,96
15,1.5,2,15,0,22,81,16,16,18
15,1.5,2,16,0,0,100,0,100,0
15,1.5,2,17,0,15,79,13,11,14
15,1.5,2,18,0,11,87,8,10,10
15,1.5,2,19,1,90,23,98,12,98
15,1.5,2,20,0,16,82,11,10,24
16,1.5,1,1,1,0,94,14,0,0
16,1.5,1,2,1,96,84,85,74,100
16,1.5,1,3,1,55,16,49,9,100
16,1.5,1,4,1,91,95,10,74,68
16,1.5,1,5,1,81,60,85,92,70
16,1.5,1,6,1,64,80,50,18,61
16,1.5,1,7,0,0,86,67,74,0
16,1.5,1,8,0,0,100,0,0,0
16,1.5,1,9,1,3,4,48,8,72
16,1.5,1,10,0,15,94,8,23,18
16,1.5,2,1,0,62,82,2,7,21
16,1.5,2,2,0,18,8,41,22,50
16,1.5,2,3,0,0,87,7,0,18
16,1.5,2,4,1,84,34,63,44,95
16,1.5,2,5,0,0,100,0,0,0
16,1.5,2,6,1,44,44,36,8,100
16,1.5,2,7,0,0,100,0,0,0
16,1.5,2,8,1,7,0,40,10,100
16,1.5,2,9,0,0,100,0,0,0
16,1.5,2,10,1,6,6,59,17,91
16,1.5,2,11,0,0,100,0,0,0
16,1.5,2,12,1,53,18,64,41,79
16,1.5,2,13,0,0,100,0,0,0
16,1.5,2,14,0,0,100,0,0,0
16,1.5,2,15,1,5,34,11,18,38
16,1.5,2,16,0,0,100,0,0,0
16,1.5,2,17,1,7,0,61,9,80
16,1.5,2,18,1,6,0,30,11,100
16,1.5,2,19,1,88,49,63,38,100
16,1.5,2,20,1,39,21,72,40,94
17,1.5,1,1,0,0,100,0,19,0
17,1.5,1,2,0,50,50,50,19,0
17,1.5,1,3,0,0,100,0,75,0
17,1.5,1,4,0,60,87,61,43,0
17,1.5,1,5,0,100,13,100,39,85
17,1.5,1,6,0,10,56,60,46,37
17,1.5,1,7,0,0,100,0,92,0
17,1.5,1,8,0,0,87,71,71,9
17,1.5,1,9,1,100,0,100,0,100
17,1.5,1,10,0,34,43,34,71,43
17,1.5,2,1,0,0,100,0,0,0
17,1.5,2,2,0,0,100,0,100,0
17,1.5,2,3,0,0,100,0,81,0
17,1.5,2,4,0,0,100,0,95,0
17,1.5,2,5,0,0,76,1,76,40
17,1.5,2,6,1,28,64,30,41,61
17,1.5,2,7,0,0,100,0,100,0
17,1.5,2,8,0,0,100,0,100,0
17,1.5,2,9,0,0,91,0,100,0
17,1.5,2,10,1,100,0,100,9,100
17,1.5,2,11,0,0,100,0,100,0
17,1.5,2,12,0,100,100,0,100,75
17,1.5,2,13,1,70,15,91,19,78
17,1.5,2,14,1,100,0,100,10,100
17,1.5,2,15,1,100,4,100,10,100
17,1.5,2,16,1,100,0,100,0,100
17,1.5,2,17,1,100,0,100,0,100
17,1.5,2,18,0,55,66,43,35,60
17,1.5,2,19,1,100,0,100,9,100
17,1.5,2,20,1,100,0,100,2,100
18,1.5,1,1,1,66,49,84,27,100
18,1.5,1,2,1,57,24,83,28,100
18,1.5,1,3,0,62,64,19,66,8
18,1.5,1,4,1,100,100,100,100,0
18,1.5,1,5,1,100,100,100,65,100
18,1.5,1,6,1,49,58,59,44,65
18,1.5,1,7,1,29,7,94,15,94
18,1.5,1,8,1,14,9,83,11,100
18,1.5,1,9,1,31,29,63,33,85
18,1.5,1,10,1,60,83,61,64,73
18,1.5,2,1,0,0,100,0,46,1
18,1.5,2,2,0,0,98,0,51,0
18,1.5,2,3,0,0,100,0,49,2
18,1.5,2,4,1,100,53,100,81,100
18,1.5,2,5,0,1,100,3,52,0
18,1.5,2,6,0,0,100,0,51,0
18,1.5,2,7,0,1,100,3,50,0
18,1.5,2,8,0,2,99,2,49,3
18,1.5,2,9,0,0,100,0,47,0
18,1.5,2,10,1,50,52,53,50,50
18,1.5,2,11,0,0,100,0,51,0
18,1.5,2,12,1,74,50,83,44,100
18,1.5,2,13,0,0,100,0,50,0
18,1.5,2,14,1,100,24,100,16,100
18,1.5,2,15,0,0,100,0,49,0
18,1.5,2,16,1,100,28,100,18,100
18,1.5,2,17,1,100,40,100,49,100
18,1.5,2,18,0,2,90,0,50,0
18,1.5,2,19,1,100,42,100,54,100
18,1.5,2,20,0,0,100,0,49,1
19,1.5,1,1,1,60,91,92,61,70
19,1.5,1,2,1,74,54,73,90,100
19,1.5,1,3,1,80,90,80,90,80
19,1.5,1,4,1,93,55,96,86,100
19,1.5,1,5,0,0,100,0,0,5
19,1.5,1,6,1,20,10,81,20,90
19,1.5,1,7,1,18,7,75,48,100
19,1.5,1,8,0,0,98,17,50,28
19,1.5,1,9,1,54,5,80,44,98
19,1.5,1,10,1,20,43,51,66,65
19,1.5,2,1,0,0,100,50,50,0
19,1.5,2,2,0,1,100,50,50,2
19,1.5,2,3,0,0,100,50,50,0
19,1.5,2,4,1,40,60,50,20,60
19,1.5,2,5,0,0,100,50,50,0
19,1.5,2,6,0,0,100,10,40,0
19,1.5,2,7,0,0,93,30,19,19
19,1.5,2,8,1,40,3,55,10,90
19,1.5,2,9,0,0,100,10,60,10
19,1.5,2,10,1,30,2,70,50,86
19,1.5,2,11,0,30,80,30,60,30
19,1.5,2,12,1,1,40,40,80,77
19,1.5,2,13,1,100,90,90,60,95
19,1.5,2,14,1,30,8,60,30,98
19,1.5,2,15,0,0,100,0,50,0
19,1.5,2,16,1,30,2,60,50,100
19,1.5,2,17,1,60,40,93,33,100
19,1.5,2,18,0,0,100,10,50,10
19,1.5,2,19,1,80,60,81,60,72
19,1.5,2,20,0,0,100,50,50,0
20,1.5,1,1,1,91,48,76,7,100
20,1.5,1,2,1,11,6,71,3,100
20,1.5,1,3,1,100,79,19,75,100
20,1.5,1,4,1,92,95,89,77,100
20,1.5,1,5,0,2,29,13,2,56
20,1.5,1,6,1,7,24,52,1,84
20,1.5,1,7,0,0,0,0,0,0
20,1.5,1,8,1,68,3,78,5,100
20,1.5,1,9,1,1,10,8,78,78
20,1.5,1,10,1,22,1,68,2,100
20,1.5,2,1,0,0,0,0,0,0
20,1.5,2,2,0,0,0,0,0,0
20,1.5,2,3,0,0,0,0,0,0
20,1.5,2,4,0,0,0,0,0,0
20,1.5,2,5,0,0,0,0,0,0
20,1.5,2,6,0,11,39,5,27,16
20,1.5,2,7,1,29,63,76,5,100
20,1.5,2,8,1,96,0,88,9,100
20,1.5,2,9,0,3,75,4,40,12
20,1.5,2,10,1,57,74,28,67,32
20,1.5,2,11,1,43,47,23,0,91
20,1.5,2,12,1,62,46,71,63,100
20,1.5,2,13,1,78,17,61,74,100
20,1.5,2,14,0,0,0,0,0,0
20,1.5,2,15,1,100,10,77,42,100
20,1.5,2,16,1,96,8,70,16,100
20,1.5,2,17,1,91,26,72,8,100
20,1.5,2,18,1,34,5,59,1,100
20,1.5,2,19,1,96,30,64,18,100
20,1.5,2,20,1,88,74,73,36,88
21,1.5,1,1,1,0,10,10,0,100
21,1.5,1,2,1,0,0,50,0,100
21,1.5,1,3,1,0,0,50,0,100
21,1.5,1,4,1,0,0,50,0,100
21,1.5,1,5,1,0,0,50,0,100
21,1.5,1,6,1,0,100,50,0,100
21,1.5,1,7,1,0,100,10,0,50
21,1.5,1,8,1,0,0,50,0,100
21,1.5,1,9,1,0,0,50,0,100
21,1.5,1,10,1,0,0,20,0,90
21,1.5,2,1,0,0,100,0,0,0
21,1.5,2,2,0,0,100,0,0,0
21,1.5,2,3,0,0,100,0,0,0
21,1.5,2,4,0,0,100,0,0,0
21,1.5,2,5,0,0,100,0,0,0
21,1.5,2,6,1,0,100,0,0,50
21,1.5,2,7,0,0,100,0,0,0
21,1.5,2,8,1,0,100,30,0,50
21,1.5,2,9,1,0,100,30,0,50
21,1.5,2,10,1,0,100,30,0,50
21,1.5,2,11,0,0,100,0,0,0
21,1.5,2,12,1,0,100,30,0,50
21,1.5,2,13,0,0,100,0,0,0
21,1.5,2,14,1,0,100,100,50,100
21,1.5,2,15,0,0,100,0,0,0
21,1.5,2,16,1,0,0,100,50,100
21,1.5,2,17,1,0,100,50,0,50
21,1.5,2,18,1,0,100,100,0,100
21,1.5,2,19,1,0,100,100,0,100
21,1.5,2,20,1,0,50,50,0,50
22,1.5,1,1,1,10,78,21,34,18
22,1.5,1,2,1,64,62,95,30,91
22,1.5,1,3,1,83,55,89,54,94
22,1.5,1,4,1,73,22,90,64,0
22,1.5,1,5,0,15,67,27,41,21
22,1.5,1,6,1,56,36,82,31,87
